	Position	Z_Score	Termseq_Depth	Strand	Condition	Replicate
508	1950003	0.27357348218156646	0.0	-	Linezolid	2
1369	1950864	8.01266064281333	1388.0	-	Linezolid	2
2382	1951877	0.7970762918647096	185.0	-	Linezolid	2
4284	1953779	5.316934996309131	271.0	-	Linezolid	2
6962	1956457	0.9999633509556092	0.0	-	Linezolid	2
8454	1957949	0.21998868346880332	0.0	-	Linezolid	2
9518	1959013	0.2219839873356818	0.0	-	Linezolid	2
10115	1959610	0.18951262569565397	0.0	-	Linezolid	2
12661	1962156	8.244594050811436	17432.0	-	Linezolid	2
15686	1965181	1.042464369494659	42.0	-	Linezolid	2
16415	1965910	2.0098284251425262	50.0	-	Linezolid	2
17559	1967054	1.488967843332117	133.0	-	Linezolid	2
18326	1967821	0.3213722403972981	2.0	-	Linezolid	2
19471	1968966	7.919309280557037	602.0	-	Linezolid	2
22035	1971530	0.4274138560799732	0.0	-	Linezolid	2
22756	1972251	7.998138533358623	628.0	-	Linezolid	2
23465	1972960	0.8406796709450699	96.0	-	Linezolid	2
24977	1974472	0.39923228061581684	99.0	-	Linezolid	2
26579	1976074	1.8016708602303075	831.0	-	Linezolid	2
27752	1977247	0.44036893948253053	3251.0	-	Linezolid	2
29335	1978830	5.758580679877882	28852.0	-	Linezolid	2
31060	1980555	0.21561408123226028	4.0	-	Linezolid	2
32537	1982032	1.1296763247511983	4.0	-	Linezolid	2
33952	1983447	0.5830440232679371	59.0	-	Linezolid	2
35097	1984592	8.228911487658282	432.0	-	Linezolid	2
36065	1985560	0.6503558906446449	1.0	-	Linezolid	2
37013	1986508	0.6414666968674569	65.0	-	Linezolid	2
38435	1987930	3.0197834921310593	74.0	-	Linezolid	2
39454	1988949	2.2924066670283643	69.0	-	Linezolid	2
40122	1989617	2.5592712683921803	80.0	-	Linezolid	2
41480	1990975	1.8993389544842136	80.0	-	Linezolid	2
42443	1991938	2.634602890505088	105.0	-	Linezolid	2
43303	1992798	1.7131092144515716	92.0	-	Linezolid	2
43989	1993484	3.4322241479457016	154.0	-	Linezolid	2
44793	1994288	1.0878061701986235	15.0	-	Linezolid	2
45447	1994942	1.6236762856085505	145.0	-	Linezolid	2
46564	1996059	4.040764603102973	380.0	-	Linezolid	2
48047	1997542	2.9123601091286333	322.0	-	Linezolid	2
48750	1998245	3.2805506770091752	354.0	-	Linezolid	2
49961	1999456	3.054761495681034	326.0	-	Linezolid	2
51355	2000850	0.9482281693051364	6.0	-	Linezolid	2
51924	2001419	0.8942927923285587	4.0	-	Linezolid	2
53125	2002620	0.25430125934487535	1.0	-	Linezolid	2
53792	2003287	0.20094913292785183	9.0	-	Linezolid	2
54596	2004091	8.664437789090321	1839.0	-	Linezolid	2
55453	2004948	0.21788344008931404	0.0	-	Linezolid	2
56500	2005995	0.18208757210229393	4.0	-	Linezolid	2
58330	2007825	2.503344135788271	28.0	-	Linezolid	2
59854	2009349	2.1990345905971656	30.0	-	Linezolid	2
61161	2010656	3.181139043076496	40.0	-	Linezolid	2
62495	2011990	0.9855833750557115	4.0	-	Linezolid	2
63781	2013276	2.2561251411392593	63.0	-	Linezolid	2
64339	2013834	5.153016285045922	124.0	-	Linezolid	2
65444	2014939	3.3459643853538767	96.0	-	Linezolid	2
66305	2015800	2.835240462828805	87.0	-	Linezolid	2
67516	2017011	3.081902267654577	85.0	-	Linezolid	2
68881	2018376	0.911643101180286	29.0	-	Linezolid	2
70586	2020081	2.2039225696017053	20.0	-	Linezolid	2
73474	2022969	8.184363466236686	2457.0	-	Linezolid	2
74261	2023756	0.34329161764957417	179.0	-	Linezolid	2
76363	2025858	1.2354773520151399	119.0	-	Linezolid	2
78055	2027550	7.5453327282159055	411.0	-	Linezolid	2
79396	2028891	0.23732607646805748	7.0	-	Linezolid	2
80245	2029740	0.26675205186942036	120.0	-	Linezolid	2
81053	2030548	8.22711059915299	1823.0	-	Linezolid	2
82218	2031713	0.25551254762445447	0.0	-	Linezolid	2
83833	2033328	0.33681582315288194	60.0	-	Linezolid	2
84414	2033909	8.217524246944533	785.0	-	Linezolid	2
85527	2035022	0.35360711250184224	55.0	-	Linezolid	2
86935	2036430	0.39879199161687645	6.0	-	Linezolid	2
87814	2037309	0.1677838489043004	0.0	-	Linezolid	2
89505	2039000	8.017559213430207	9836.0	-	Linezolid	2
90137	2039632	0.29858535829692123	593.0	-	Linezolid	2
91773	2041268	1.7469403615318073	2403.0	-	Linezolid	2
93427	2042922	4.324457091936045	1649.0	-	Linezolid	2
94606	2044101	0.41487071631297695	27.0	-	Linezolid	2
96597	2046092	4.155502469242145	526.0	-	Linezolid	2
98636	2048131	6.750977526172727	761.0	-	Linezolid	2
99169	2048664	0.3995606044286552	65.0	-	Linezolid	2
100018	2049513	0.5863942037792477	84.0	-	Linezolid	2
102102	2051597	1.9914327027285612	45.0	-	Linezolid	2
103612	2053107	0.2074471622603316	4.0	-	Linezolid	2
104909	2054404	8.904034690480435	3022.0	-	Linezolid	2
105732	2055227	0.17471752642022711	11.0	-	Linezolid	2
107427	2056922	0.3192200479198155	0.0	-	Linezolid	2
109266	2058761	8.257333696140972	1516.0	-	Linezolid	2
109913	2059408	0.765662084211975	185.0	-	Linezolid	2
111289	2060784	0.26608038039042936	3.0	-	Linezolid	2
112165	2061660	1.0260854715908974	47.0	-	Linezolid	2
114772	2064267	7.836750674478629	1740.0	-	Linezolid	2
116440	2065935	1.1465429276945014	325.0	-	Linezolid	2
117850	2067345	0.6143028101098948	2.0	-	Linezolid	2
119756	2069251	0.22883347035122042	0.0	-	Linezolid	2
121513	2071008	0.7274671101360207	1195.0	-	Linezolid	2
123820	2073315	8.735705351439293	11694.0	-	Linezolid	2
124984	2074479	0.1976912304902197	0.0	-	Linezolid	2
125561	2075056	0.26982015687041383	607.0	-	Linezolid	2
126611	2076106	0.7819740057620194	122.0	-	Linezolid	2
127330	2076825	1.6062957329197056	145.0	-	Linezolid	2
128074	2077569	0.6082635868287998	0.0	-	Linezolid	2
130893	2080388	0.39531888760782735	0.0	-	Linezolid	2
132074	2081569	7.2509034556957745	960.0	-	Linezolid	2
133270	2082765	2.700481041835396	389.0	-	Linezolid	2
134359	2083854	0.40115672157611026	0.0	-	Linezolid	2
136151	2085646	7.913004347660021	1556.0	-	Linezolid	2
137782	2087277	2.1442820067427277	463.0	-	Linezolid	2
138687	2088182	0.5452752726901068	1.0	-	Linezolid	2
140497	2089992	2.2157793380092543	36.0	-	Linezolid	2
143405	2092900	4.503587484077095	1052.0	-	Linezolid	2
144741	2094236	1.959860129354628	596.0	-	Linezolid	2
145532	2095027	0.7141430836973115	0.0	-	Linezolid	2
147016	2096511	6.358990286201422	1012.0	-	Linezolid	2
148339	2097834	0.22655639761096363	0.0	-	Linezolid	2
149588	2099083	1.1311587456897567	0.0	-	Linezolid	2
150380	2099875	0.7592315408727744	16.0	-	Linezolid	2
151683	2101178	0.5972910861952989	0.0	-	Linezolid	2
153746	2103241	0.14953039485664266	0.0	-	Linezolid	2
154589	2104084	8.235402244681042	3417.0	-	Linezolid	2
156389	2105884	0.16644273130731418	0.0	-	Linezolid	2
157129	2106624	0.2929507316507055	1.0	-	Linezolid	2
157692	2107187	0.24768027802374287	5.0	-	Linezolid	2
158406	2107901	1.9238835597189095	234.0	-	Linezolid	2
159621	2109116	8.50246271409583	930.0	-	Linezolid	2
160589	2110084	0.26568756710112496	0.0	-	Linezolid	2
162559	2112054	1.3568495465502832	26.0	-	Linezolid	2
165533	2115028	5.683345547565828	10369.0	-	Linezolid	2
166449	2115944	2.0773620833026576	4349.0	-	Linezolid	2
167557	2117052	0.5328698445234122	0.0	-	Linezolid	2
170548	2120043	7.059759290796189	8148.0	-	Linezolid	2
171845	2121340	0.2612144177852527	1.0	-	Linezolid	2
173827	2123322	0.848662333025652	0.0	-	Linezolid	2
175299	2124794	2.7489888527535067	21.0	-	Linezolid	2
176374	2125869	1.5528163531887058	17.0	-	Linezolid	2
176927	2126422	1.4537925746373026	0.0	-	Linezolid	2
178136	2127631	3.8862763275989156	28.0	-	Linezolid	2
178834	2128329	1.5525847380717144	16.0	-	Linezolid	2
179682	2129177	4.060531821889511	29.0	-	Linezolid	2
180693	2130188	1.1430227406944118	1.0	-	Linezolid	2
181308	2130803	1.0263943618941094	0.0	-	Linezolid	2
181989	2131484	1.0761226573911178	0.0	-	Linezolid	2
182775	2132270	2.6416383577043536	44.0	-	Linezolid	2
183356	2132851	4.521238187449401	70.0	-	Linezolid	2
185360	2134855	1.1311999967418203	5.0	-	Linezolid	2
186149	2135644	4.4401188175561765	138.0	-	Linezolid	2
187199	2136694	1.976199468945988	79.0	-	Linezolid	2
187749	2137244	1.9406922962124735	78.0	-	Linezolid	2
188884	2138379	1.676452353715053	52.0	-	Linezolid	2
189937	2139432	1.18058693852626	3.0	-	Linezolid	2
190905	2140400	1.362704678269309	27.0	-	Linezolid	2
191656	2141151	3.76548639009205	46.0	-	Linezolid	2
192874	2142369	1.9221472010561091	29.0	-	Linezolid	2
194344	2143839	2.423810352727234	27.0	-	Linezolid	2
195007	2144502	2.0874784257588463	24.0	-	Linezolid	2
196407	2145902	2.6928201760433135	34.0	-	Linezolid	2
196976	2146471	2.4057807100192976	32.0	-	Linezolid	2
198039	2147534	4.705233155453044	52.0	-	Linezolid	2
198948	2148443	1.8407324955204956	29.0	-	Linezolid	2
199896	2149391	0.8898403883808712	2.0	-	Linezolid	2
201578	2151073	5.820231392384371	155.0	-	Linezolid	2
202638	2152133	1.0033048759488616	2.0	-	Linezolid	2
203612	2153107	1.7088510580812228	93.0	-	Linezolid	2
204282	2153777	4.605371815861559	187.0	-	Linezolid	2
204836	2154331	3.9689000218255854	169.0	-	Linezolid	2
206750	2156245	2.640567950807696	104.0	-	Linezolid	2
209616	2159111	8.5948074103305	222.0	-	Linezolid	2
211610	2161105	1.665275901094262	49.0	-	Linezolid	2
214064	2163559	1.448579450085395	12.0	-	Linezolid	2
214821	2164316	1.291116583483695	7.0	-	Linezolid	2
217402	2166897	6.867004550358325	147.0	-	Linezolid	2
219894	2169389	0.3365239514591413	0.0	-	Linezolid	2
220574	2170069	8.12129023996609	1129.0	-	Linezolid	2
221511	2171006	0.16144944988389584	23.0	-	Linezolid	2
222989	2172484	0.21210537680136568	0.0	-	Linezolid	2
223626	2173121	8.358428935209297	7590.0	-	Linezolid	2
225347	2174842	0.15795005721105243	0.0	-	Linezolid	2
225926	2175421	0.15796009515378184	1.0	-	Linezolid	2
227096	2176591	8.27754593535708	217901.0	-	Linezolid	2
229019	2178514	0.1533072978871704	2.0	-	Linezolid	2
230901	2180396	7.7969086637760645	789.0	-	Linezolid	2
231528	2181023	0.6366222870886485	111.0	-	Linezolid	2
233496	2182991	5.912276334820843	237.0	-	Linezolid	2
234382	2183877	1.3042414963356348	144.0	-	Linezolid	2
236063	2185558	0.6991477858527572	686.0	-	Linezolid	2
237707	2187202	8.22539494824267	6587.0	-	Linezolid	2
238645	2188140	0.15454432777163465	0.0	-	Linezolid	2
240503	2189998	0.4113986633454116	2.0	-	Linezolid	2
241363	2190858	0.8975489497616301	31.0	-	Linezolid	2
242607	2192102	7.548921621565122	217.0	-	Linezolid	2
244382	2193877	1.9704999923094013	68.0	-	Linezolid	2
245153	2194648	2.3074888628324834	43.0	-	Linezolid	2
248142	2197637	2.312952167171563	6.0	-	Linezolid	2
251029	2200524	3.1388899933011483	10.0	-	Linezolid	2
251936	2201431	4.722497874720964	14.0	-	Linezolid	2
253301	2202796	1.7584679276678437	7.0	-	Linezolid	2
254583	2204078	1.5127631337352405	11.0	-	Linezolid	2
256636	2206131	6.65785743176188	37.0	-	Linezolid	2
257802	2207297	0.2653274685576198	0.0	-	Linezolid	2
259805	2209300	3.438772027152654	819.0	-	Linezolid	2
262066	2211561	5.8370863876234935	1575.0	-	Linezolid	2
262675	2212170	4.833351629009397	1210.0	-	Linezolid	2
265035	2214530	0.18349324422618685	3.0	-	Linezolid	2
265784	2215279	8.233990729047074	15140.0	-	Linezolid	2
267031	2216526	0.21851542998296952	882.0	-	Linezolid	2
269102	2218597	8.248189258572848	5649.0	-	Linezolid	2
270194	2219689	0.25569707148316234	38.0	-	Linezolid	2
270793	2220288	0.23903337744759337	39.0	-	Linezolid	2
271555	2221050	0.23705851718506457	21.0	-	Linezolid	2
273777	2223272	8.291552612102137	7957.0	-	Linezolid	2
274933	2224428	0.22748998001001108	61.0	-	Linezolid	2
275782	2225277	0.2944559725405629	104.0	-	Linezolid	2
276653	2226148	0.5736556584664381	606.0	-	Linezolid	2
277196	2226691	0.669972364428813	647.0	-	Linezolid	2
278116	2227611	7.101246868445478	4303.0	-	Linezolid	2
281505	2231000	0.2673173115397147	0.0	-	Linezolid	2
282080	2231575	2.1563253797306894	1015.0	-	Linezolid	2
284060	2233555	7.940911690981697	3501.0	-	Linezolid	2
284730	2234225	0.2629276996954719	213.0	-	Linezolid	2
285693	2235188	0.279205611202521	219.0	-	Linezolid	2
286502	2235997	0.1641097976082198	45.0	-	Linezolid	2
288340	2237835	8.27270398120945	16268.0	-	Linezolid	2
290848	2240343	0.32968105162545264	0.0	-	Linezolid	2
292251	2241746	8.100991215392254	1975.0	-	Linezolid	2
292945	2242440	1.2102665766686962	350.0	-	Linezolid	2
296232	2245727	8.097076445772624	16692.0	-	Linezolid	2
298716	2248211	2.473723950458243	3138.0	-	Linezolid	2
301356	2250851	8.264421169537528	6577.0	-	Linezolid	2
302284	2251779	0.914060653061181	1024.0	-	Linezolid	2
304238	2253733	0.9049919071186782	115.0	-	Linezolid	2
305577	2255072	1.1581047635183233	749.0	-	Linezolid	2
306785	2256280	6.66910572905528	3254.0	-	Linezolid	2
308140	2257635	3.370183283963863	1791.0	-	Linezolid	2
309035	2258530	2.594981927727962	1438.0	-	Linezolid	2
309642	2259137	0.6161347194853144	32.0	-	Linezolid	2
311026	2260521	0.5077789922647616	11.0	-	Linezolid	2
312043	2261538	3.297499183165516	635.0	-	Linezolid	2
313672	2263167	7.349630358627768	1287.0	-	Linezolid	2
314489	2263984	0.24142275294543974	21.0	-	Linezolid	2
315330	2264825	0.2538758775527101	10.0	-	Linezolid	2
316520	2266015	6.14507520471791	4497.0	-	Linezolid	2
317615	2267110	0.28567825959779175	30.0	-	Linezolid	2
318426	2267921	4.143567360454854	4002.0	-	Linezolid	2
320082	2269577	4.669328724246878	4909.0	-	Linezolid	2
322241	2271736	6.168930996976654	5714.0	-	Linezolid	2
322975	2272470	0.7213935690817105	659.0	-	Linezolid	2
323981	2273476	0.8961381076132858	786.0	-	Linezolid	2
324803	2274298	0.5875506827785762	11.0	-	Linezolid	2
325852	2275347	3.48129666788995	392.0	-	Linezolid	2
327977	2277472	0.32660996891375343	0.0	-	Linezolid	2
328701	2278196	2.7485194269534157	822.0	-	Linezolid	2
329721	2279216	7.772117232516173	2181.0	-	Linezolid	2
330568	2280063	0.2869036494572731	10.0	-	Linezolid	2
331137	2280632	0.23291339688657267	21.0	-	Linezolid	2
331830	2281325	0.24052474750290107	4.0	-	Linezolid	2
333094	2282589	8.38054751359115	6393.0	-	Linezolid	2
333897	2283392	0.17975592886292674	39.0	-	Linezolid	2
335776	2285271	1.6446008475651905	165.0	-	Linezolid	2
336899	2286394	3.9115615507236474	352.0	-	Linezolid	2
338335	2287830	1.878232308855279	478.0	-	Linezolid	2
339378	2288873	0.3920430820946407	13.0	-	Linezolid	2
340381	2289876	5.616579568984227	1680.0	-	Linezolid	2
342088	2291583	5.588199016543995	1653.0	-	Linezolid	2
342799	2292294	0.3119524603737926	0.0	-	Linezolid	2
346023	2295518	8.16346125618344	10406.0	-	Linezolid	2
346746	2296241	0.20529321210360257	3.0	-	Linezolid	2
349035	2298530	1.8184264277479936	741.0	-	Linezolid	2
351013	2300508	7.989705367600727	3033.0	-	Linezolid	2
352001	2301496	0.16762966334684143	25.0	-	Linezolid	2
352993	2302488	1.0181250845382503	450.0	-	Linezolid	2
353564	2303059	0.6219205361695022	0.0	-	Linezolid	2
355751	2305246	0.6133192000821809	0.0	-	Linezolid	2
357490	2306985	1.5952461256389732	11.0	-	Linezolid	2
358946	2308441	5.482398578625239	38.0	-	Linezolid	2
359846	2309341	2.3448588009311857	19.0	-	Linezolid	2
360663	2310158	4.244841197082104	30.0	-	Linezolid	2
361262	2310757	1.9916936997058714	17.0	-	Linezolid	2
363435	2312930	3.5032455372045828	14.0	-	Linezolid	2
364160	2313655	3.828508416824633	15.0	-	Linezolid	2
366813	2316308	8.279182927000967	12165.0	-	Linezolid	2
370124	2319619	8.218080330914038	2921.0	-	Linezolid	2
371184	2320679	0.21609626751169206	0.0	-	Linezolid	2
372643	2322138	0.43732820438064	0.0	-	Linezolid	2
374629	2324124	0.12446725299267046	0.0	-	Linezolid	2
375987	2325482	6.956820022939476e-08	0.0	-	Linezolid	2
377203	2326698	1.2238335857001363e-08	0.0	-	Linezolid	2
378179	2327674	0.17204817528166125	0.0	-	Linezolid	2
380738	2330233	7.702261268822128	1253.0	-	Linezolid	2
381947	2331442	1.9575164599822896	463.0	-	Linezolid	2
382950	2332445	0.5161773977664564	178.0	-	Linezolid	2
383728	2333223	3.233688242033013	1069.0	-	Linezolid	2
385820	2335315	7.358834199196635	2289.0	-	Linezolid	2
386888	2336383	0.24119687521783895	141.0	-	Linezolid	2
388340	2337835	0.744306726908111	0.0	-	Linezolid	2
390422	2339917	3.472076859401145	451.0	-	Linezolid	2
392361	2341856	7.028244376143129	916.0	-	Linezolid	2
393782	2343277	3.0594786377110115	384.0	-	Linezolid	2
395267	2344762	0.3192099605442187	3.0	-	Linezolid	2
396511	2346006	4.5176086366409764	45.0	-	Linezolid	2
399181	2348676	0.9251581496572298	0.0	-	Linezolid	2
401982	2351477	8.341950416865831	33915.0	-	Linezolid	2
403479	2352974	0.21182815202644006	34.0	-	Linezolid	2
405416	2354911	2.0277444738947428	558.0	-	Linezolid	2
406523	2356018	2.3743753359253734	383.0	-	Linezolid	2
408116	2357611	0.41948021271168706	0.0	-	Linezolid	2
409064	2358559	7.565411055093708	283.0	-	Linezolid	2
411602	2361097	3.207775955087882	11.0	-	Linezolid	2
413194	2362689	2.0269179851607744	9.0	-	Linezolid	2
414162	2363657	0.17777114383653145	0.0	-	Linezolid	2
415788	2365283	8.319155606113702	814.0	-	Linezolid	2
416496	2365991	0.2562327690627568	50.0	-	Linezolid	2
417547	2367042	0.255065461697446	0.0	-	Linezolid	2
418210	2367705	0.24812670691896824	1.0	-	Linezolid	2
419041	2368536	8.295664504446446	841.0	-	Linezolid	2
421770	2371265	0.5284682497018647	0.0	-	Linezolid	2
422366	2371861	0.4858279243112712	0.0	-	Linezolid	2
423289	2372784	9.113273183384992	178.0	-	Linezolid	2
424251	2373746	1.124561868657425	38.0	-	Linezolid	2
425165	2374660	1.3644337874854304	45.0	-	Linezolid	2
426138	2375633	8.570857938237836	156.0	-	Linezolid	2
427423	2376918	0.326420186802971	56.0	-	Linezolid	2
427977	2377472	0.3005192951047311	0.0	-	Linezolid	2
429100	2378595	7.948595705411828	739.0	-	Linezolid	2
429624	2379119	2.900405120578105	287.0	-	Linezolid	2
430411	2379906	0.2899290344367202	2.0	-	Linezolid	2
431093	2380588	0.303081758826449	3.0	-	Linezolid	2
432537	2382032	2.5868216956289736	40.0	-	Linezolid	2
435247	2384742	8.369864490294859	6623.0	-	Linezolid	2
437973	2387468	0.252463329050056	9.0	-	Linezolid	2
439991	2389486	8.679786158410652	6967.0	-	Linezolid	2
442261	2391756	0.7556955470606549	947.0	-	Linezolid	2
442988	2392483	1.0319516675667875	67.0	-	Linezolid	2
444052	2393547	1.2687165528741595	477.0	-	Linezolid	2
444726	2394221	4.942588824108496	974.0	-	Linezolid	2
445285	2394780	0.9218914399219487	296.0	-	Linezolid	2
445828	2395323	1.1531699142247989	323.0	-	Linezolid	2
446442	2395937	1.1275202035017284	62.0	-	Linezolid	2
447687	2397182	2.2777549121289806	338.0	-	Linezolid	2
448581	2398076	2.580671312322184	395.0	-	Linezolid	2
450274	2399769	0.4725552036454708	77.0	-	Linezolid	2
451230	2400725	8.17939309282719	2727.0	-	Linezolid	2
452572	2402067	0.43226438999548505	66.0	-	Linezolid	2
453154	2402649	0.4666334857179704	44.0	-	Linezolid	2
454041	2403536	4.562087249904584	910.0	-	Linezolid	2
454997	2404492	6.078126139431016	1183.0	-	Linezolid	2
456035	2405530	0.7988262375520971	230.0	-	Linezolid	2
457561	2407056	0.6421210783532868	5.0	-	Linezolid	2
459378	2408873	0.41975880937116156	0.0	-	Linezolid	2
461082	2410577	1.0855694523003245	319.0	-	Linezolid	2
461958	2411453	1.0429621024952038	314.0	-	Linezolid	2
463067	2412562	8.230896339773018	2076.0	-	Linezolid	2
463918	2413413	0.24190705424805925	16.0	-	Linezolid	2
466352	2415847	9.212728425227983	899.0	-	Linezolid	2
467410	2416905	0.4727729877664794	81.0	-	Linezolid	2
469092	2418587	0.8415755881858114	0.0	-	Linezolid	2
470905	2420400	1.0565083695470634	116.0	-	Linezolid	2
471893	2421388	8.215694707557976	704.0	-	Linezolid	2
474401	2423896	1.6397726091294467	65.0	-	Linezolid	2
475651	2425146	1.4923046041577712	2.0	-	Linezolid	2
476184	2425679	2.1091645674634787	63.0	-	Linezolid	2
477422	2426917	0.5232667331931073	8.0	-	Linezolid	2
478284	2427779	1.208932601490983	121.0	-	Linezolid	2
479352	2428847	5.283479636817312	399.0	-	Linezolid	2
480365	2429860	4.7797593829143175	365.0	-	Linezolid	2
481635	2431130	1.8588640767146913	162.0	-	Linezolid	2
482498	2431993	0.2203032897005857	5.0	-	Linezolid	2
484495	2433990	7.819598869621783	1974.0	-	Linezolid	2
485627	2435122	2.5419195782540513	677.0	-	Linezolid	2
486150	2435645	0.20436227092739642	0.0	-	Linezolid	2
487045	2436540	0.2440475648671931	1.0	-	Linezolid	2
488136	2437631	0.516269613990227	0.0	-	Linezolid	2
489504	2438999	5.850390878574527	60.0	-	Linezolid	2
490602	2440097	0.6262899084217564	0.0	-	Linezolid	2
493282	2442777	5.553709092769121	2830.0	-	Linezolid	2
494148	2443643	6.2433499785127164	3166.0	-	Linezolid	2
494838	2444333	0.2507136780477727	1.0	-	Linezolid	2
495589	2445084	0.25248014550483183	1.0	-	Linezolid	2
496531	2446026	0.2440019063521469	3.0	-	Linezolid	2
498905	2448400	7.76468049404944	6781.0	-	Linezolid	2
500380	2449875	1.8164260673698627	1762.0	-	Linezolid	2
500964	2450459	0.22804238373286295	33.0	-	Linezolid	2
501692	2451187	0.5711820250486018	187.0	-	Linezolid	2
502905	2452400	0.3422689154882017	1.0	-	Linezolid	2
504527	2454022	4.915741930859493	1165.0	-	Linezolid	2
505954	2455449	0.33103718178062835	836.0	-	Linezolid	2
507212	2456707	8.239820041346963	13185.0	-	Linezolid	2
508442	2457937	0.19932548473936973	78.0	-	Linezolid	2
510106	2459601	1.803137254646845	501.0	-	Linezolid	2
513263	2462758	8.23640010579253	3505560.0	-	Linezolid	2
517621	2467116	8.17013765142647	21906.0	-	Linezolid	2
518504	2467999	0.38438464107088166	1518.0	-	Linezolid	2
519590	2469085	0.19786650455753185	0.0	-	Linezolid	2
520241	2469736	0.5062796588869082	31.0	-	Linezolid	2
522659	2472154	8.277598765285763	1227.0	-	Linezolid	2
523249	2472744	0.28517280979784	141.0	-	Linezolid	2
525422	2474917	6.021128184993801	1591.0	-	Linezolid	2
526207	2475702	0.4804496898179867	257.0	-	Linezolid	2
527474	2476969	4.649437171422772	1525.0	-	Linezolid	2
528561	2478056	5.635229117577475	1536.0	-	Linezolid	2
529731	2479226	0.3126702273005914	6.0	-	Linezolid	2
531088	2480583	5.346360396070079	889.0	-	Linezolid	2
532139	2481634	0.5605351902376383	82.0	-	Linezolid	2
532834	2482329	0.30053769374524564	4.0	-	Linezolid	2
534266	2483761	0.2133993207342245	0.0	-	Linezolid	2
535789	2485284	8.172067452794119	2487.0	-	Linezolid	2
537686	2487181	0.2574771711240142	0.0	-	Linezolid	2
538425	2487920	8.237879348942501	933.0	-	Linezolid	2
539151	2488646	0.3418787252464796	0.0	-	Linezolid	2
539978	2489473	0.8359476716382949	219.0	-	Linezolid	2
541766	2491261	6.577841267090938	1391.0	-	Linezolid	2
