	Position	Z_Score	Termseq_Depth	Strand	Condition	Replicate
94	95	1.291277419891163	36.0	+	Tigecycline	4
1033	1034	0.265355021269172	6.0	+	Tigecycline	4
1940	1941	0.27747129315731894	14.0	+	Tigecycline	4
2765	2766	7.0010042592348265	823.0	+	Tigecycline	4
3787	3788	4.697019657106053	568.0	+	Tigecycline	4
4814	4815	0.3536506720961542	8.0	+	Tigecycline	4
6328	6329	1.5991599437175168	8.0	+	Tigecycline	4
7361	7362	0.6434339728040246	77.0	+	Tigecycline	4
9132	9133	8.207454048850796	605.0	+	Tigecycline	4
11266	11267	0.2958199789173795	1.0	+	Tigecycline	4
12122	12123	8.81918095082245	990.0	+	Tigecycline	4
13612	13613	1.991091007919365	285.0	+	Tigecycline	4
15511	15512	5.3515097969723255	534.0	+	Tigecycline	4
16930	16931	6.10362442254545	580.0	+	Tigecycline	4
17925	17926	0.5408913157124312	104.0	+	Tigecycline	4
18957	18958	0.42436225675639083	12.0	+	Tigecycline	4
19560	19561	0.6725856117969197	81.0	+	Tigecycline	4
20306	20307	7.681692526311051	499.0	+	Tigecycline	4
21617	21618	1.098555504603372	177.0	+	Tigecycline	4
22558	22559	0.3667345022290956	0.0	+	Tigecycline	4
23699	23700	9.29928569087269	1058.0	+	Tigecycline	4
24544	24545	1.120462356364705	157.0	+	Tigecycline	4
25310	25311	0.31195702395618635	5.0	+	Tigecycline	4
26253	26254	0.8519006709452751	47.0	+	Tigecycline	4
27981	27982	0.5681214602024249	64.0	+	Tigecycline	4
29042	29043	7.7280731944359555	503.0	+	Tigecycline	4
30228	30229	2.3418296134420253	167.0	+	Tigecycline	4
31863	31864	0.5660015316401142	0.0	+	Tigecycline	4
32784	32785	5.066343317482489	136.0	+	Tigecycline	4
34127	34128	5.712654849154145	146.0	+	Tigecycline	4
35043	35044	0.9448400165028956	34.0	+	Tigecycline	4
38375	38376	8.778735640271709	238.0	+	Tigecycline	4
39620	39621	0.17679927872551557	0.0	+	Tigecycline	4
40913	40914	0.24924109195532756	0.0	+	Tigecycline	4
42041	42042	0.38058814618622455	0.0	+	Tigecycline	4
43080	43081	1.4664408854011475	119.0	+	Tigecycline	4
43952	43953	0.5801715441218575	58.0	+	Tigecycline	4
44554	44555	7.892166373691071	561.0	+	Tigecycline	4
47561	47562	4.119492918413178	179.0	+	Tigecycline	4
49408	49409	5.051831963334212	196.0	+	Tigecycline	4
52048	52049	1.8104860184923321	11.0	+	Tigecycline	4
54118	54119	0.8778921435385993	20.0	+	Tigecycline	4
54775	54776	2.6704341059500565	49.0	+	Tigecycline	4
55478	55479	7.818788065330005	133.0	+	Tigecycline	4
56160	56161	0.3222266300897032	0.0	+	Tigecycline	4
58024	58025	0.2614737308883739	0.0	+	Tigecycline	4
58700	58701	0.6026628178598574	6.0	+	Tigecycline	4
60486	60487	6.695665589974897	63.0	+	Tigecycline	4
62120	62121	4.371171440559203	43.0	+	Tigecycline	4
63138	63139	0.804103003433909	8.0	+	Tigecycline	4
64234	64235	0.9658875283795355	11.0	+	Tigecycline	4
66769	66770	8.296398830781737	199.0	+	Tigecycline	4
69649	69650	3.4440434589453184	25.0	+	Tigecycline	4
70477	70478	3.487186026613018	26.0	+	Tigecycline	4
71471	71472	1.9186182232716789	17.0	+	Tigecycline	4
72150	72151	1.979777166022984	23.0	+	Tigecycline	4
73118	73119	0.7182762541635005	0.0	+	Tigecycline	4
74406	74407	7.308589480192304	61.0	+	Tigecycline	4
75202	75203	2.059016278577648	18.0	+	Tigecycline	4
77931	77932	0.638371464400058	0.0	+	Tigecycline	4
79165	79166	4.486537373013784	42.0	+	Tigecycline	4
80631	80632	4.660332417448905	49.0	+	Tigecycline	4
81609	81610	0.8039771093818248	0.0	+	Tigecycline	4
83295	83296	6.39663220147719	84.0	+	Tigecycline	4
84107	84108	2.132395568364569	34.0	+	Tigecycline	4
84663	84664	0.7353838264491963	1.0	+	Tigecycline	4
85596	85597	2.4601232306332763	43.0	+	Tigecycline	4
86521	86522	0.9821772187106036	21.0	+	Tigecycline	4
87294	87295	5.581731257560305	79.0	+	Tigecycline	4
88534	88535	4.801904468284458	69.0	+	Tigecycline	4
90215	90216	1.2412412232718424	34.0	+	Tigecycline	4
91795	91796	7.96479553559224	159.0	+	Tigecycline	4
93751	93752	0.2875496626210164	0.0	+	Tigecycline	4
94624	94625	7.802228535824292	54.0	+	Tigecycline	4
96916	96917	2.5193400665917918	21.0	+	Tigecycline	4
98975	98976	0.6942458904730403	0.0	+	Tigecycline	4
100224	100225	2.174852193030223	221.0	+	Tigecycline	4
101481	101482	7.021050757145509	623.0	+	Tigecycline	4
104576	104577	3.746782482333239	5.0	+	Tigecycline	4
106254	106255	3.6390096881167575	4.0	+	Tigecycline	4
107250	107251	1.8916952004247465	2.0	+	Tigecycline	4
108657	108658	3.1047318951459664	3.0	+	Tigecycline	4
109177	109178	2.386450410777932	2.0	+	Tigecycline	4
109789	109790	1.0855634458292083	2.0	+	Tigecycline	4
110757	110758	0.42754316419150623	0.0	+	Tigecycline	4
