	Position	Z_Score	Termseq_Depth	Strand	Condition	Replicate
584	975364	3.2851869041396586	14	-	Vancomycin	1
1312	976092	4.286665222730509	18	-	Vancomycin	1
2867	977647	2.8965240917528337	13	-	Vancomycin	1
3388	978168	3.083664240778902	13	-	Vancomycin	1
5679	980459	0.20759355042054076	0	-	Vancomycin	1
6521	981301	8.188291732928551	1458	-	Vancomycin	1
7056	981836	0.1877620086709873	5	-	Vancomycin	1
7713	982493	0.3716252523768812	102	-	Vancomycin	1
9149	983929	0.8134416274870282	0	-	Vancomycin	1
11831	986611	4.72605599762687	17	-	Vancomycin	1
12505	987285	1.3964568463633342	11	-	Vancomycin	1
13123	987903	1.2110924289011382	10	-	Vancomycin	1
14397	989177	7.318495932043771	40	-	Vancomycin	1
15341	990121	1.7471586514976079	13	-	Vancomycin	1
17000	991780	3.003484064554424	14	-	Vancomycin	1
18965	993745	0.1329786682734693	0	-	Vancomycin	1
19742	994522	8.208518153450997	9943	-	Vancomycin	1
21055	995835	0.13690908311121908	0	-	Vancomycin	1
22816	997596	7.688314545778991	173	-	Vancomycin	1
25820	1000600	5.23241596849132	25	-	Vancomycin	1
28227	1003007	2.8052387166825183	14	-	Vancomycin	1
28846	1003626	1.8133019639500247	9	-	Vancomycin	1
31069	1005849	2.1687096404033634	14	-	Vancomycin	1
31989	1006769	2.630894317460097	17	-	Vancomycin	1
32754	1007534	0.1600629737844822	0	-	Vancomycin	1
33307	1008087	0.16342399323679996	0	-	Vancomycin	1
34091	1008871	0.17712751406753968	0	-	Vancomycin	1
34643	1009423	8.268474918613078	2425	-	Vancomycin	1
35679	1010459	0.17473797475675437	0	-	Vancomycin	1
36412	1011192	0.5994537415197999	222	-	Vancomycin	1
37274	1012054	0.4564281501319242	0	-	Vancomycin	1
40220	1015000	0.656688615386176	0	-	Vancomycin	1
40852	1015632	5.194355084093505	148	-	Vancomycin	1
41950	1016730	3.896767583757759	115	-	Vancomycin	1
43376	1018156	0.6764872715361003	0	-	Vancomycin	1
44819	1019599	7.259757773375386	67	-	Vancomycin	1
45567	1020347	0.6642545820782435	0	-	Vancomycin	1
47206	1021986	1.1753826732467887	15	-	Vancomycin	1
47714	1022494	2.0138932564849847	13	-	Vancomycin	1
50027	1024807	0.1988620092105647	0	-	Vancomycin	1
51410	1026190	8.44124736507	1653	-	Vancomycin	1
