	Position	Z_Score	Termseq_Depth	Strand	Condition	Replicate
194	195	0.7606046431761239	62	+	Vancomycin	1
1395	1396	0.25963688834333476	20	+	Vancomycin	1
2765	2766	7.482405031980169	1975	+	Vancomycin	1
3806	3807	3.6619650536824064	1016	+	Vancomycin	1
6517	6518	1.5830632790258432	13	+	Vancomycin	1
7797	7798	0.20861937737763414	12	+	Vancomycin	1
8449	8450	0.1813648650307998	17	+	Vancomycin	1
9146	9147	8.341203866678583	2801	+	Vancomycin	1
9749	9750	0.283010156755129	169	+	Vancomycin	1
11222	11223	0.23081351403276576	3	+	Vancomycin	1
12122	12123	2.916712290608348	350	+	Vancomycin	1
12931	12932	0.28663719803709914	9	+	Vancomycin	1
13609	13610	7.0566184090008655	937	+	Vancomycin	1
15511	15512	4.084294500633787	624	+	Vancomycin	1
16923	16924	5.771830462788185	628	+	Vancomycin	1
18055	18056	0.27459925919365447	20	+	Vancomycin	1
19560	19561	1.0794314519804256	289	+	Vancomycin	1
20296	20297	8.069513323055382	1660	+	Vancomycin	1
21618	21619	0.9821040421164955	262	+	Vancomycin	1
22259	22260	0.30821010367871426	2	+	Vancomycin	1
23688	23689	6.62958008889854	358	+	Vancomycin	1
24530	24531	3.652671172157619	192	+	Vancomycin	1
26232	26233	1.1014484812119751	88	+	Vancomycin	1
27973	27974	2.383678154729409	261	+	Vancomycin	1
29052	29053	7.4238536580700245	701	+	Vancomycin	1
30229	30230	2.2877623929400808	242	+	Vancomycin	1
31028	31029	0.41371681711558145	0	+	Vancomycin	1
31988	31989	0.5560447529911503	2	+	Vancomycin	1
32796	32797	7.068588909812764	356	+	Vancomycin	1
34128	34129	3.824063716501495	205	+	Vancomycin	1
35487	35488	0.6847675965804128	0	+	Vancomycin	1
36376	36377	0.37674676817313046	0	+	Vancomycin	1
38377	38378	8.473390758688495	420	+	Vancomycin	1
39618	39619	0.23597313176831297	0	+	Vancomycin	1
42041	42042	0.4927746749046803	0	+	Vancomycin	1
43072	43073	1.2010330908319322	245	+	Vancomycin	1
43941	43942	0.28414287510774194	90	+	Vancomycin	1
44564	44565	8.114540402613784	1417	+	Vancomycin	1
47579	47580	3.4566364329971453	240	+	Vancomycin	1
49376	49377	4.513584877941105	282	+	Vancomycin	1
50738	50739	0.6457200985497709	2	+	Vancomycin	1
52076	52077	2.5669573010395945	31	+	Vancomycin	1
52729	52730	1.2678686843744056	1	+	Vancomycin	1
54188	54189	2.029234299502005	27	+	Vancomycin	1
54767	54768	3.5144504128355534	36	+	Vancomycin	1
55479	55480	5.496688271864847	52	+	Vancomycin	1
56745	56746	0.9129105516057858	0	+	Vancomycin	1
57313	57314	1.6659845021119954	16	+	Vancomycin	1
58655	58656	0.8268747586316951	14	+	Vancomycin	1
59558	59559	0.6105719402424388	0	+	Vancomycin	1
60509	60510	5.998919630634723	84	+	Vancomycin	1
62092	62093	5.624018910167052	80	+	Vancomycin	1
62723	62724	1.1714197062971143	25	+	Vancomycin	1
63706	63707	1.4330076794165347	23	+	Vancomycin	1
65501	65502	0.2669123261760599	1	+	Vancomycin	1
66776	66777	8.523091311195094	568	+	Vancomycin	1
68032	68033	0.32354409093762515	0	+	Vancomycin	1
69889	69890	4.671824651311061	66	+	Vancomycin	1
71443	71444	2.2191567904276037	39	+	Vancomycin	1
72159	72160	1.9761012213573894	38	+	Vancomycin	1
72728	72729	1.6735885839403188	28	+	Vancomycin	1
73524	73525	1.2747086860513335	23	+	Vancomycin	1
74410	74411	4.428008460408809	47	+	Vancomycin	1
75171	75172	2.707732835719144	28	+	Vancomycin	1
75921	75922	1.1557396011187562	0	+	Vancomycin	1
76651	76652	1.3770309630174498	17	+	Vancomycin	1
77601	77602	1.3638794511033328	0	+	Vancomycin	1
79043	79044	1.747677912718907	34	+	Vancomycin	1
80728	80729	6.424631848081712	96	+	Vancomycin	1
81545	81546	0.8912524982038746	1	+	Vancomycin	1
83305	83306	6.005520640586658	108	+	Vancomycin	1
84217	84218	1.0214767334553831	3	+	Vancomycin	1
85626	85627	1.516511902764062	76	+	Vancomycin	1
86245	86246	0.5059041312748541	4	+	Vancomycin	1
87256	87257	7.612003445942393	299	+	Vancomycin	1
88515	88516	2.9115069311351673	126	+	Vancomycin	1
89323	89324	0.4688390732345377	4	+	Vancomycin	1
90231	90232	0.6510527097284	46	+	Vancomycin	1
91779	91780	8.093212219124784	292	+	Vancomycin	1
92409	92410	0.5294717410174747	40	+	Vancomycin	1
93062	93063	0.5242417016955518	1	+	Vancomycin	1
94629	94630	7.781514627712857	120	+	Vancomycin	1
96010	96011	0.6830671689233211	0	+	Vancomycin	1
96889	96890	0.9314747708794897	32	+	Vancomycin	1
98899	98900	0.7799723591485089	1	+	Vancomycin	1
100319	100320	0.6442956887368219	239	+	Vancomycin	1
101490	101491	8.085557024446153	2040	+	Vancomycin	1
104126	104127	2.035013926794983	15	+	Vancomycin	1
104745	104746	1.5272756616861811	0	+	Vancomycin	1
106037	106038	2.1523977290953757	12	+	Vancomycin	1
107479	107480	2.3934379829313297	16	+	Vancomycin	1
108101	108102	1.6266691632063695	0	+	Vancomycin	1
108807	108808	3.625689988785286	23	+	Vancomycin	1
109786	109787	2.8574134027098324	23	+	Vancomycin	1
110482	110483	2.424357958924071	21	+	Vancomycin	1
111938	111939	4.617574893634953	32	+	Vancomycin	1
112951	112952	1.7182436106167995	17	+	Vancomycin	1
114227	114228	2.056588751104086	19	+	Vancomycin	1
114855	114856	3.448970592168737	24	+	Vancomycin	1
115644	115645	1.5918834564362274	1	+	Vancomycin	1
116500	116501	2.8769872736407924	23	+	Vancomycin	1
117242	117243	0.7147860790744291	0	+	Vancomycin	1
119090	119091	2.4853056055959333	137	+	Vancomycin	1
119942	119943	4.856893097152091	247	+	Vancomycin	1
120859	120860	6.2180873866858715	310	+	Vancomycin	1
122681	122682	0.3649637118935792	2	+	Vancomycin	1
124301	124302	1.5203421056691746	19	+	Vancomycin	1
126850	126851	0.4730733762977498	83	+	Vancomycin	1
127748	127749	6.592500200353072	674	+	Vancomycin	1
128758	128759	4.564614503844126	478	+	Vancomycin	1
129737	129738	0.41383049772151476	0	+	Vancomycin	1
