	Position	Z_Score	Termseq_Depth	Strand	Condition	Replicate
201	974981	3.7632532158432204	3	-	Control	2
1090	975870	6.890749501700727	6	-	Control	2
2335	977115	2.1201894263429977	3	-	Control	2
3274	978054	2.5732841703928626	4	-	Control	2
6528	981308	8.17263311153476	664	-	Control	2
7733	982513	0.4230768493391525	54	-	Control	2
9312	984092	0.6923436324779971	0	-	Control	2
11615	986395	0.8293824911756653	1	-	Control	2
12395	987175	0.73940203996529	4	-	Control	2
14336	989116	7.896141706409705	34	-	Control	2
15237	990017	1.0894190114300766	6	-	Control	2
17048	991828	2.67268111265144	6	-	Control	2
18978	993758	0.13225586317197002	0	-	Control	2
19751	994531	8.249244101554686	8636	-	Control	2
21509	996289	0.1357546767583422	0	-	Control	2
22822	997602	7.985007418248489	136	-	Control	2
25857	1000637	7.331607200948588	24	-	Control	2
27437	1002217	0.27003520986979673	0	-	Control	2
29082	1003862	4.150420750359568	3	-	Control	2
29860	1004640	2.0662099640987908	2	-	Control	2
32041	1006821	0.9707791531256187	3	-	Control	2
34069	1008849	0.1741599569849586	0	-	Control	2
34641	1009421	8.210228945362903	1816	-	Control	2
36405	1011185	0.640144580413134	176	-	Control	2
37172	1011952	0.415968525323694	0	-	Control	2
40249	1015029	0.5653658000651625	0	-	Control	2
40852	1015632	5.806408845801435	140	-	Control	2
41918	1016698	2.992128255095772	78	-	Control	2
42915	1017695	0.6224978778187179	0	-	Control	2
43422	1018202	0.6353581644947897	0	-	Control	2
44854	1019634	7.856199106417232	60	-	Control	2
46385	1021165	0.37950899829967055	5	-	Control	2
48257	1023037	0.44452034078161384	7	-	Control	2
49024	1023804	0.8095873852315156	94	-	Control	2
50035	1024815	0.29582853286648725	0	-	Control	2
51410	1026190	8.250572880469509	833	-	Control	2
52314	1027094	0.8530378575027375	110	-	Control	2
53958	1028738	0.5783200769614225	0	-	Control	2
56124	1030904	3.103425985748411	150	-	Control	2
56959	1031739	4.096898105265326	189	-	Control	2
58638	1033418	0.6716896854447969	0	-	Control	2
59823	1034603	0.5227578228652163	0	-	Control	2
61867	1036647	3.021285186220291	5	-	Control	2
63076	1037856	3.593082486009648	5	-	Control	2
63666	1038446	2.6501262042578824	4	-	Control	2
