	Position	Z_Score	Termseq_Depth	Strand	Condition	Replicate
191	192	0.5646718499546283	80	+	Linezolid	2
1719	1720	1.5929543925747296	350	+	Linezolid	2
2761	2762	6.890307700358464	1195	+	Linezolid	2
3791	3792	3.701049544292457	688	+	Linezolid	2
4850	4851	0.4638503739474283	5	+	Linezolid	2
5399	5400	0.5624268411207588	104	+	Linezolid	2
6380	6381	1.297921905647813	11	+	Linezolid	2
7295	7296	0.19294727378670096	15	+	Linezolid	2
8420	8421	0.18937872535249806	14	+	Linezolid	2
9144	9145	8.365568429913303	3050	+	Linezolid	2
9710	9711	0.2571975098274613	2	+	Linezolid	2
10970	10971	0.24591565738113588	2	+	Linezolid	2
12123	12124	6.547326417063062	1018	+	Linezolid	2
13612	13613	4.409847799781839	917	+	Linezolid	2
15511	15512	4.677173172352505	1087	+	Linezolid	2
16924	16925	6.193431983423667	1269	+	Linezolid	2
17911	17912	0.5503674847652568	242	+	Linezolid	2
19487	19488	0.40306549371983746	20	+	Linezolid	2
20302	20303	7.952943728488491	1428	+	Linezolid	2
21622	21623	1.569485031456219	352	+	Linezolid	2
23698	23699	5.77112330565693	589	+	Linezolid	2
24543	24544	4.825505264404368	466	+	Linezolid	2
25623	25624	0.6129029475994453	15	+	Linezolid	2
26497	26498	0.6476679416202875	19	+	Linezolid	2
27974	27975	0.3316630744405922	122	+	Linezolid	2
29040	29041	8.005055880522171	1482	+	Linezolid	2
30230	30231	1.3524974416215392	294	+	Linezolid	2
31723	31724	0.5743224490469244	0	+	Linezolid	2
32790	32791	3.9844219936610816	267	+	Linezolid	2
34142	34143	6.191109657446692	359	+	Linezolid	2
34989	34990	0.8325944494202927	72	+	Linezolid	2
35589	35590	0.5056150984305285	0	+	Linezolid	2
36686	36687	0.43954741745083525	0	+	Linezolid	2
37400	37401	0.8198929992376491	37	+	Linezolid	2
38389	38390	9.94391893464037	329	+	Linezolid	2
39632	39633	0.24195902946098022	0	+	Linezolid	2
42041	42042	0.4866723782196103	0	+	Linezolid	2
43075	43076	0.7309799846714266	110	+	Linezolid	2
43929	43930	0.6235199849363687	98	+	Linezolid	2
44565	44566	8.01847961243015	928	+	Linezolid	2
47442	47443	4.374482202473489	568	+	Linezolid	2
48346	48347	0.4086580255462124	16	+	Linezolid	2
49376	49377	3.0295999722272984	406	+	Linezolid	2
52069	52070	4.976756578113007	56	+	Linezolid	2
52609	52610	0.8020663877186321	0	+	Linezolid	2
53748	53749	0.5306772731170657	30	+	Linezolid	2
54810	54811	1.5193276263110678	62	+	Linezolid	2
55467	55468	8.23527767544439	291	+	Linezolid	2
56427	56428	0.26927327997007217	0	+	Linezolid	2
58468	58469	0.2709240763614601	0	+	Linezolid	2
60525	60526	5.935178186711518	127	+	Linezolid	2
62115	62116	4.736342416618861	105	+	Linezolid	2
63543	63544	1.0616203371562118	26	+	Linezolid	2
65611	65612	0.24911288706689033	0	+	Linezolid	2
66783	66784	8.449626854371006	746	+	Linezolid	2
67458	67459	0.24545676750769174	0	+	Linezolid	2
68753	68754	0.25042483539645216	0	+	Linezolid	2
69823	69824	3.4770969135316054	38	+	Linezolid	2
70470	70471	2.189367266639188	27	+	Linezolid	2
71599	71600	3.4369410997983105	36	+	Linezolid	2
73109	73110	0.7708926519568704	0	+	Linezolid	2
74403	74404	7.061441463932588	89	+	Linezolid	2
75202	75203	3.2836958733249197	43	+	Linezolid	2
78061	78062	1.4997231316980286	19	+	Linezolid	2
79182	79183	2.6488694338815155	51	+	Linezolid	2
79815	79816	1.2023813701243824	31	+	Linezolid	2
80631	80632	4.078809676651904	87	+	Linezolid	2
81973	81974	1.0307084822333048	42	+	Linezolid	2
83294	83295	5.8899296690307335	134	+	Linezolid	2
84616	84617	0.798399286872727	2	+	Linezolid	2
85925	85926	0.2854774696306312	2	+	Linezolid	2
87257	87258	8.403101332247108	548	+	Linezolid	2
88482	88483	0.7964144773778696	73	+	Linezolid	2
89336	89337	0.35518546413055646	2	+	Linezolid	2
90239	90240	1.3299928245457324	59	+	Linezolid	2
91785	91786	7.990600619797863	253	+	Linezolid	2
93568	93569	0.4004867190228312	0	+	Linezolid	2
94632	94633	7.706287011209107	158	+	Linezolid	2
95612	95613	0.5436557197214802	0	+	Linezolid	2
96896	96897	1.7457017086042765	48	+	Linezolid	2
98974	98975	0.5654765533844519	0	+	Linezolid	2
100002	100003	1.5810236567476532	1102	+	Linezolid	2
101489	101490	7.850946696568789	4762	+	Linezolid	2
