	Position	Z_Score	Termseq_Depth	Strand	Condition	Replicate
248	249	2.3247350546574648	3	-	Tigecycline	4
2844	2845	7.833512320610624	97	-	Tigecycline	4
3540	3541	2.960048140333737	39	-	Tigecycline	4
5425	5426	0.35731799240817536	0	-	Tigecycline	4
6251	6252	0.5812804630935395	1	-	Tigecycline	4
7780	7781	0.40186201861041243	0	-	Tigecycline	4
9175	9176	7.329839200783265	82	-	Tigecycline	4
11747	11748	2.1603200167891417	11	-	Tigecycline	4
12822	12823	2.2163809284377627	4	-	Tigecycline	4
13407	13408	1.55685940743079	3	-	Tigecycline	4
14362	14363	0.6504306643158525	0	-	Tigecycline	4
16936	16937	8.166666373630207	54	-	Tigecycline	4
18339	18340	0.2755597577519762	0	-	Tigecycline	4
18995	18996	0.4957733956464844	5	-	Tigecycline	4
20338	20339	7.469654584754366	13	-	Tigecycline	4
21301	21302	0.9758704914114612	3	-	Tigecycline	4
23649	23650	7.839903638680596	14	-	Tigecycline	4
25260	25261	0.770156638078511	2	-	Tigecycline	4
25947	25948	0.8454630691604921	2	-	Tigecycline	4
26875	26876	4.154327006889407	3	-	Tigecycline	4
27508	27509	1.0941839105833382	1	-	Tigecycline	4
28449	28450	0.5123737296470682	1	-	Tigecycline	4
29053	29054	1.4912706963056035	2	-	Tigecycline	4
30567	30568	7.009784574189965	7	-	Tigecycline	4
32354	32355	0.33501837941693163	0	-	Tigecycline	4
33317	33318	1.1558629515318444	15	-	Tigecycline	4
34138	34139	1.9762464677660274	36	-	Tigecycline	4
34888	34889	3.904294924629508	85	-	Tigecycline	4
36393	36394	2.1615219647247845	100	-	Tigecycline	4
37314	37315	2.742965803335191	121	-	Tigecycline	4
39237	39238	0.4700264326961861	0	-	Tigecycline	4
40336	40337	6.812686162420663	2800	-	Tigecycline	4
41179	41180	3.518790541324222	1531	-	Tigecycline	4
42842	42843	0.47823994481862864	0	-	Tigecycline	4
45162	45163	8.195199934799973	1883	-	Tigecycline	4
45871	45872	0.15710344112838923	25	-	Tigecycline	4
